sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
25N05001	2	histDNAredo	2353MHLT4	ILLUMINA	8	25N05001	25N05001-histDNAredo-2	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N05001/B_25N05001_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N05001/B_25N05001_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	3184321.5	2566318.05
25N05001	1	histDNAredo	2353MHLT4	ILLUMINA	8	25N05001	25N05001-histDNAredo-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N05001/R_25N05001_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N05001/R_25N05001_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	3162362.226	2517987.055
25N05003	2	histDNAredo	2353MHLT4	ILLUMINA	8	25N05003	25N05003-histDNAredo-2	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N05003/B_25N05003_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N05003/B_25N05003_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	2439109.536	2025910.619
25N05003	1	histDNAredo	2353MHLT4	ILLUMINA	8	25N05003	25N05003-histDNAredo-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N05003/R_25N05003_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N05003/R_25N05003_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	2751854.996	2268366.926
25N05006	2	histDNAredo	2353MHLT4	ILLUMINA	8	25N05006	25N05006-histDNAredo-2	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N05006/B_25N05006_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N05006/B_25N05006_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	3448449.059	2764603.011
25N05006	1	histDNAredo	2353MHLT4	ILLUMINA	8	25N05006	25N05006-histDNAredo-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N05006/R_25N05006_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N05006/R_25N05006_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	2880823.7	2314672.772
25N05007	2	histDNAredo	2353MHLT4	ILLUMINA	8	25N05007	25N05007-histDNAredo-2	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N05007/B_25N05007_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N05007/B_25N05007_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	3109364.983	2505221.524
25N05007	1	histDNAredo	2353MHLT4	ILLUMINA	8	25N05007	25N05007-histDNAredo-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N05007/R_25N05007_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N05007/R_25N05007_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	3157697.301	2515945.693
25N05008	2	histDNAredo	2353MHLT4	ILLUMINA	8	25N05008	25N05008-histDNAredo-2	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N05008/B_25N05008_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N05008/B_25N05008_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	3329929.296	2659901.881
25N05008	1	histDNAredo	2353MHLT4	ILLUMINA	8	25N05008	25N05008-histDNAredo-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N05008/R_25N05008_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N05008/R_25N05008_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	2895544.463	2268834.126
